hhtyp,incgrp,unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,TOTAL,PC_POP,TOTAL,T,FI	0.9 	0.8 	0.8 	1.0 	0.8 	0.7 	0.7 	0.6 	0.6 	0.6 	0.5 	0.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,FR	1.0 	0.9 	0.9 	0.8 	0.8 	0.7 	0.6 	0.5 	0.5 	0.5 	0.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,HR	: 	: 	: 	: 	: 	0.6 	1.7 	2.5 b	1.7 	2.0 	1.9 	1.8 p
TOTAL,TOTAL,PC_POP,TOTAL,T,HU	8.4 	5.8 	6.4 	6.7 	7.1 	6.6 	5.0 	5.2 	5.3 	5.3 	3.9 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,T,IE	0.5 	0.3 	0.6 	0.3 	0.3 	0.2 	4.4 	2.4 	2.1 	0.1 	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,IS	0.5 	0.5 	0.3 	0.2 	0.3 	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,IT	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.4 	0.6 	1.1 	0.8 	0.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,LT	25.1 	23.7 	20.2 	20.2 	17.9 	16.2 	16.8 	15.8 	13.6 	12.5 	12.4 	13.7 
TOTAL,TOTAL,PC_POP,TOTAL,T,LU	0.2 	0.5 	0.6 	0.7 	0.8 	0.5 	0.1 	0.7 	0.1 	0.1 	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,LV	22.3 	19.1 	20.6 	16.8 	17.0 	16.8 	16.5 	16.2 	15.2 	14.7 	13.6 	12.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,MK	: 	: 	: 	: 	: 	13.1 	11.6 	12.7 	10.3 	9.5 	5.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,MT	0.2 	0.1 	0.0 n	0.0 n	0.0 n	0.1 	0.1 	0.1 	0.2 	0.1 	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,NL	: 	: 	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 	0.0 n	0.0 n	0.1 
TOTAL,TOTAL,PC_POP,TOTAL,T,NO	0.2 	0.2 	0.3 	0.1 	0.1 	0.1 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,PL	7.8 	7.2 	6.2 	5.3 	4.8 	4.1 	4.0 	3.5 	3.2 	3.1 	2.7 	2.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,PT	3.3 	3.6 	3.2 	2.6 	2.4 	1.6 	1.2 	0.9 	0.9 	1.0 	1.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,RO	: 	: 	44.5 	41.3 	42.1 	40.9 	38.8 	36.8 	35.9 	34.3 	32.8 	32.6 
TOTAL,TOTAL,PC_POP,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	4.2 	4.2 	4.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,SI	1.7 	1.2 	1.1 	0.8 	0.6 	0.4 	0.5 	0.4 	0.5 	0.6 	0.3 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,T,SK	3.2 	3.2 	2.9 	0.4 b	1.1 	1.2 	1.4 	1.1 	0.6 	1.3 	1.4 	1.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,TR	: 	14.2 	13.5 	13.4 	12.4 	: 	9.0 	9.1 	8.8 	7.6 	6.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,UK	1.0 	0.8 	0.8 	0.6 	0.5 	0.5 	0.1 	0.3 b	0.2 	0.4 	0.4 	0.4 
